,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,CriticalCases,Tot Cases/1M pop,Date,Longitude,Latitude
26,Israel,143,34.0,0.0,0.0,4.0,139,3.0,16.5,2020-03-13 21:43:25.487830,35.00444693,31.46110101
27,Czechia,141,25.0,0.0,0.0,0.0,141,2.0,13.2,2020-03-13 21:43:25.487830,15.31240163,49.73341233
28,Slovenia,141,45.0,0.0,0.0,0.0,141,4.0,67.8,2020-03-13 21:43:25.487830,14.80444238,46.11554772
29,Iceland,134,17.0,0.0,0.0,0.0,134,0.0,0.0,2020-03-13 21:43:25.487830,-18.57396167,64.99575386
30,Hong Kong,132,1.0,4.0,1.0,78.0,50,4.0,17.6,2020-03-13 21:43:25.487830,114.11380449999999,22.39827737
31,Portugal,112,34.0,0.0,0.0,1.0,111,1.0,11.0,2020-03-13 21:43:25.487830,-8.50104361,39.59550671
32,Iraq,101,18.0,9.0,1.0,24.0,68,0.0,2.5,2020-03-13 21:43:25.487830,43.74353149,33.03970582
33,Kuwait,100,20.0,0.0,0.0,5.0,95,4.0,23.4,2020-03-13 21:43:25.487830,47.58700459,29.33431262
34,Romania,95,36.0,0.0,0.0,7.0,88,1.0,4.9,2020-03-13 21:43:25.487830,24.97293039,45.85243127
35,Egypt,93,13.0,2.0,0.0,27.0,64,0.0,0.9,2020-03-13 21:43:25.487830,29.86190099,26.49593311
36,Ireland,90,20.0,1.0,0.0,0.0,89,6.0,18.2,2020-03-13 21:43:25.487830,-8.13793569,53.17544870000001
37,Saudi Arabia,86,41.0,0.0,0.0,1.0,85,0.0,2.5,2020-03-13 21:43:25.487830,44.53686271,24.12245841
38,UAE,85,0.0,0.0,0.0,20.0,65,2.0,8.6,2020-03-13 21:43:25.487830,54.300167099999996,23.90528188
39,India,82,8.0,2.0,1.0,10.0,70,0.0,0.1,2020-03-13 21:43:25.487830,79.61197609999999,22.88578212
40,San Marino,80,8.0,5.0,0.0,2.0,73,3.0,0.0,2020-03-13 21:43:25.487830,12.45922334,43.94186747
41,Estonia,79,52.0,0.0,0.0,0.0,79,0.0,59.6,2020-03-13 21:43:25.487830,25.54248537,58.67192972
42,Lebanon,77,9.0,3.0,0.0,1.0,73,3.0,11.3,2020-03-13 21:43:25.487830,35.88016072,33.92306631
43,Thailand,75,5.0,1.0,0.0,35.0,39,1.0,1.1,2020-03-13 21:43:25.487830,101.0028813,15.11815794
44,Indonesia,69,35.0,4.0,3.0,5.0,60,0.0,0.3,2020-03-13 21:43:25.487830,117.24011370000001,-2.21505456
45,Poland,68,17.0,2.0,1.0,0.0,66,3.0,1.8,2020-03-13 21:43:25.487830,19.39012835,52.12759564
46,Philippines,64,12.0,5.0,0.0,2.0,57,1.0,0.6,2020-03-13 21:43:25.487830,122.8839325,11.77536778
47,Taiwan,50,1.0,1.0,0.0,20.0,29,0.0,2.1,2020-03-13 21:43:25.487830,120.95427279999998,23.753992800000002
48,Russia,45,11.0,0.0,0.0,8.0,37,0.0,0.3,2020-03-13 21:43:25.487830,96.68656112,61.98052209
49,Vietnam,44,0.0,0.0,0.0,16.0,28,0.0,0.5,2020-03-13 21:43:25.487830,106.29914699999999,16.646016699999997
50,Chile,43,10.0,0.0,0.0,0.0,43,0.0,2.2,2020-03-13 21:43:25.487830,-71.38256213,-37.73070989
51,Luxembourg,38,12.0,1.0,1.0,0.0,37,0.0,0.0,2020-03-13 21:43:25.487830,6.07182201,49.76725361
52,Peru,38,16.0,0.0,0.0,0.0,38,0.0,1.2,2020-03-13 21:43:25.487830,-74.38242685,-9.15280381
53,Brunei,37,12.0,0.0,0.0,0.0,37,0.0,0.0,2020-03-13 21:43:25.487830,114.7220304,4.51968958
54,Serbia,35,11.0,0.0,0.0,0.0,35,1.0,4.0,2020-03-13 21:43:25.487830,20.78958334,44.2215032
55,Palestine,35,4.0,0.0,0.0,0.0,35,0.0,6.9,2020-03-13 21:43:25.487830,35.19628705,31.91613893
56,Argentina,34,3.0,2.0,1.0,0.0,32,1.0,0.8,2020-03-13 21:43:25.487830,-65.17980692,-35.3813488
57,Albania,33,10.0,1.0,0.0,0.0,32,0.0,11.5,2020-03-13 21:43:25.487830,20.04983396,41.14244989
58,Croatia,32,5.0,0.0,0.0,1.0,31,0.0,7.8,2020-03-13 21:43:25.487830,16.40412899,45.08047631
59,Slovakia,32,11.0,0.0,0.0,0.0,32,0.0,5.9,2020-03-13 21:43:25.487830,19.47905218,48.70547528
60,Bulgaria,31,8.0,1.0,0.0,0.0,30,0.0,4.5,2020-03-13 21:43:25.487830,25.21552909,42.76890318
61,Pakistan,28,7.0,0.0,0.0,2.0,26,0.0,0.1,2020-03-13 21:43:25.487830,69.33957937,29.9497515
